from,to,weight,year,az,code
Ziffer1,ES,1,2002,(B1-178/02),(ES/2002/01)
Zifferunbekannt,ES,1,1996,(B 8/96),(ES/1996/1)
Ziffer7,ET,1,2004,(BK1-118/04),(ET/2004/01)
Ziffer7,ETN,1,2000,(B 136/00),(ETN/2000/01)
Ziffer1,EUR,1,2008,(BK2-105/08),(EUR/2008/01)
Ziffer7,EUR,1,2008,(BK2-105/08),(EUR/2008/01)
Ziffer1,Express,1,2019,(0127/19/3),(Express/2019/2)
Ziffer11,Express,1,2006,(BK2-101/06),(Express/2006/02)
Ziffer13,Express,2,1994,(B 80a/93),(Express/1994/1)
Ziffer13,Express,1,2001,(B 209/01),(Express/2001/01)
Ziffer13,Express,1,2001,(B 206/01),(Express/2001/02)
Ziffer13,Express,2,2001,(B 202/00),(Express/2001/03)
Ziffer13,Express,2,2001,(B 195/00),(Express/2001/04)
Ziffer2,Express,1,2001,(B 206/01),(Express/2001/02)
Ziffer2,Express,1,2003,(B1-21/03),(Express/2003/01)
Ziffer2,Express,1,2007,(BK1-210/07),(Express/2007/01)
Ziffer5,Express,1,2006,(BK1-295/05),(Express/2006/01)
Ziffer6,Express,2,2006,(BK2-103 + 104/06),(Express/2006/03)
Ziffer7,Express,1,2019,(0127/19/3),(Express/2019/1)
Ziffer8,Express,1,2001,(B 209/01),(Express/2001/01)
Ziffer8,Express,1,2001,(B 206/01),(Express/2001/02)
Ziffer8,Express,2,2001,(B 202/00),(Express/2001/03)
Ziffer8,Express,1,2003,(B1-21/03),(Express/2003/01)
Ziffer9,Express,1,2003,(B1-21/03),(Express/2003/01)
Ziffer11,ExpressO,1,2010,(BK2-442/09),(ExpressO/2010/1)
Ziffer2,ExpressO,1,2018,(0014/18/1),(ExpressO/2018/1)
Ziffer8,ExpressO,1,2010,(BK2-442/09),(ExpressO/2010/1)
Ziffer8,EZ,2,2004,(B2-9/03),(EZ/2004/01)
Ziffer2,FA,1,2013,(341/13/2),(FA/2013/1)
Ziffer8,FA,1,2013,(341/13/2),(FA/2013/1)
Ziffer7,FASO,1,2016,(1096/15/3),(FASO/2016/1)
Ziffer12,FAZ,1,2017,(596/17/1),(FAZ/2017/1)
Ziffer2,FAZ,1,1993,(B 4/93),(FAZ/1993/1)
Ziffer2,FAZN,1,2014,(0776/13/1),(FAZN/2014/5)
Ziffer8,FAZN,1,2014,(0776/13/1),(FAZN/2014/5)
Ziffer2,FE,1,2013,(344/13/2),(FE/2013/1)
Ziffer2,FE,1,2015,(0238/15/2),(FE/2015/1)
Ziffer8,FE,1,2015,(0238/15/2),(FE/2015/2)
Ziffer7,FH,1,2017,(0575/17/3),(FH/2017/1)
Ziffer1,FHM,1,2002,(B1-25/02),(FHM/2002/01)
Ziffer11,FHM,1,2002,(B1-25/02),(FHM/2002/01)
Ziffer7,FM,1,2001,(B 199/01),(FM/2001/01)
Ziffer2,FMO,1,2019,(1119/18/2),(FMO/2019/1)
Ziffer11,FN,1,1991,(B 51/91),(FN/1991/2)
Ziffer8,FN,1,1991,(B 51/91),(FN/1991/1)
Ziffer1,FNP,1,1990,(B 91/90),(FNP/1990/1)
Ziffer12,FNP,1,1990,(B 91/90),(FNP/1990/2)
Ziffer8,FNP,1,2017,(0723/17/2),(FNP/2017/1)
Ziffer2,Focus,1,2006,(BK2-29/06),(Focus/2006/01)
Ziffer8,Focus,1,2006,(BK2-29/06),(Focus/2006/01)
Ziffer7,FocusM,1,2006,(BK2-92/06),(FocusM/2006/01)
Ziffer1,FocusO,1,2015,(0399/15/2),(FocusO/2015/2)
Ziffer11,FocusO,1,2014,(0173+0182/14/2),(FocusO/2014/1)
Ziffer7,FocusO,1,2015,(0252/15/1),(FocusO/2015/3)
Ziffer7,FocusO,1,2016,(1071/15/3),(FocusO/2016/1)
Ziffer7,FocusO,1,2016,(1108/15/3),(FocusO/2016/2)
Ziffer7,FocusO,1,2017,(0410/17/3),(FocusO/2017/1)
Ziffer8,FocusO,1,2015,(0517/15/2),(FocusO/2015/1)
Ziffer7,Forum,1,2018,(0714/18/3),(Forum/2018/1)
Ziffer1,FR,1,1991,(B 47/91),(FR/1991/1)
Ziffer8,FR,1,2006,(BK2-165/06),(FR/2006/01)
Ziffer7,FRP,1,2006,(BK1-69/06),(FRP/2006/01)
Ziffer7,FRW,1,2010,(0649/10/2),(FRW/2010/1)
Ziffer7,FS,1,2008,(BK1-224/07),(FS/2008/01)
Ziffer7,FW,1,2010,(0295/10/2),(FW/2010/1)
Ziffer8,FZ,2,2000,(B 178/00),(FZ/2000/01)
Ziffer2,GeislingZ,1,2016,(1057/15/4),(GeislingZ/2016/1)
Ziffer2,GLAM,1,2003,(B1-266/02),(GLAM/2003/01)
Ziffer7,GM,1,2010,(BK2-414/09),(GM/2010/1)
Ziffer7,GoL,1,2007,(BK1-355/06),(GoL/2007/01)
Ziffer7,GONG,1,2008,(BK2-263/07),(GONG/2008/01)
Ziffer7,GONG,1,2010,(BK2-464/09),(GONG/2010/1)
Ziffer7,GONG,1,2018,(0310/18/3),(GONG/2018/1)
Ziffer1,GP,1,1999,(B 68/99),(GP/1999/1)
Ziffer2,GP,1,1999,(B 68/99),(GP/1999/1)
Ziffer11,GZ,1,2010,(0155/10/2),(GZ/2010/1)
Ziffer7,GZ,1,2015,(0912/14/1),(GZ/2015/2)
Ziffer8,GZ,1,2015,(0912/14/1),(GZ/2015/1)
Ziffer13,HAB,2,2004,(BK2-25/04),(HAB/2004/01)
Ziffer2,HAB,1,2006,(BK2-227/06),(HAB/2006/01)
Ziffer8,HAB,2,2004,(BK2-25/04),(HAB/2004/01)
Ziffer6,HAZ,2,2002,(B1-203/02),(HAZ/2002/01)
Ziffer8,HAZ,2,2002,(B1-203/02),(HAZ/2002/01)
Ziffer8,HAZ,2,2009,(BK2-328/09),(HAZ/2009/01)
Ziffer9,HK,1,1992,(B 68/91),(HK/1992/1)
Ziffer8,HLZ,2,2002,(B1-129/02),(HLZ/2002/01)
Ziffer1,HM,1,2019,(0125/19/3),(HM/2019/1)
Ziffer11,HM,2,2001,"(B 108,109,110/01)",(HM/2001/01)
Ziffer11,HM,1,2006,(BK2-102/06),(HM/2006/02)
Ziffer13,HM,1,2003,(B1-255/02),(HM/2003/01)
Ziffer2,HM,1,2001,(B 5/01),(HM/2001/02)
Ziffer2,HM,1,2008,(BK2-254/08),(HM/2008/01)
Ziffer4,HM,1,1990,(B 8/90),(HM/1990/1)
Ziffer5,HM,2,1993,(B 18/93),(HM/1993/1)
Ziffer7,HM,1,2007,(BK1-102/07),(HM/2007/01)
Ziffer7,HM,1,2019,(0125/19/3),(HM/2019/2)
Ziffer8,HM,2,2001,"(B 108,109,110/01)",(HM/2001/01)
Ziffer8,HM,1,2005,(BK1-78/05),(HM/2005/01)
Ziffer8,HM,2,2006,(BK2-98/06),(HM/2006/01)
Ziffer12,Hoerzu,1,1995,(B 18/95),(Hoerzu/1995/1)
Ziffer7,Hoerzu,1,2019,(1019/18/3),(Hoerzu/2019/2)
Ziffer7,Hoerzu,1,2019,(0403/19/3),(Hoerzu/2019/1)
Ziffer1,HS,1,1998,"(B 86,87,88/98)",(HS/1998/1)
Ziffer12,HS,1,1998,"(B 86,87,88/98)",(HS/1998/1)
Ziffer2,HS,1,2003,(B1-268/02),(HS/2003/01)
Ziffer2,Huerriyet,1,1994,(B 76/94),(Huerriyet/1994/1)
Ziffer2,Huerriyet,1,1999,(B 92/99),(Huerriyet/1999/1)
Ziffer2,Huerriyet,1,2001,(B 93/01),(Huerriyet/2001/01)
Ziffer9,Huerriyet,1,1994,(B 76/94),(Huerriyet/1994/2)
Ziffer7,HUS,1,2006,(BK1-300/05),(HUS/2006/01)
Ziffer7,HUW,1,2010,(0652/10/1),(HUW/2010/1)
Ziffer8,HZ,2,2003,(B1-120/03),(HZ/2003/01)
Ziffer2,Impulse,1,2005,(BK1-92/05),(Impulse/2005/01)
Ziffer7,IN,1,2008,(BK2-264/07),(IN/2008/01)
Ziffer7,IN,1,2009,(BK1-183/08),(IN/2009/01)
Ziffer7,IN,1,2013,(0038/13/1),(IN/2013/1)
Ziffer9,IS,1,1993,(B 51/93),(IS/1993/1)
Ziffer7,J,1,2001,(B 178/01),(J/2001/01)
Ziffer12,JF,1,2013,(686/13/1),(JF/2013/1)
Ziffer9,JF,1,2001,(B 130/01),(JF/2001/01)
Ziffer2,JFO,1,2019,(0580/19/1),(JFO/2019/1)
Ziffer7,Jolie,1,2018,(0939/17/3),(Jolie/2018/1)
Ziffer1,JW,1,1997,(B 140/97),(JW/1997/1)
Ziffer7,K,1,2018,(0094/18/3),(K/2018/1)
Ziffer1,KE,1,2010,(0037/10/2),(KE/2010/1)
Ziffer2,KE,1,2010,(0037/10/2),(KE/2010/1)
Ziffer9,KE,1,2010,(0037/10/2),(KE/2010/1)
Ziffer7,KI,1,2009,(BK1-294/08),(KI/2009/01)
Ziffer7,Kicker,1,2008,(BK2-129/08),(Kicker/2008/01)
Ziffer7,KL,1,2013,(0230/13/1),(KL2013/1)
Ziffer1,KRO,1,2018,(0150/18/1),(KRO/2018/1)
Ziffer6,KRO,1,2018,(0150/18/1),(KRO/2018/2)
Ziffer7,KSA,1,2007,(BK2-318/06),(KSA/2007/01)
Ziffer1,KSO,1,2018,(0148/18/1),(KSO/2018/1)
Ziffer6,KSO,1,2018,(0148/18/1),(KSO/2018/2)
Ziffer7,KWM,1,2010,(0443/10/2),(KWM/2010/1)
Ziffer7,LAM,1,2014,(0374/14/2),(LAM/2014/1)
Ziffer7,LAM,1,2014,(0375/14/2),(LAM/2014/2)
Ziffer7,LAM,1,2015,(0501/15/2),(LAM/2015/1)
Ziffer7,Lauf,1,2013,(0213/13/2),(Lauf/2013/1)
Ziffer7,Laura,1,2010,(0647/10/1),(Laura/2010/1)
Ziffer7,LDZ,1,2002,(B1-19/02),(LDZ/2002/01)
Ziffer1,Lea,1,2011,(0454/11/1),(Lea/2011/1)
Ziffer7,Lea,1,2010,(0653/10/1),(Lea/2010/1)
Ziffer7,LN,1,1998,(B 143/98),(LN/1998/1)
Ziffer7,LO,1,2018,(0541/18/3),(LO/2018/1)
Ziffer2,LP,1,2004,"(BK2-33,34,35,36,38/04)",(LP/2004/01)
Ziffer8,LueP,1,2011,(0669/10/3),(LueP/2011/1)
Ziffer8,LueP,1,2012,(0771/11/3),(LueP/2012/1)
Ziffer2,LV,1,2015,(0662/15/1),(LV/2015/2)
Ziffer7,LV,1,2015,(0424/15/1),(LV/2015/1)
Ziffer9,LV,1,2013,(712/13/1),(LV/2013/1)
Ziffer8,LZ,1,2003,(B1-177/03),(LZ/2003/01)
Ziffer7,MA,1,2002,(B 244/01),(MA/2002/01)
Ziffer2,MaerkischeA,1,2015,(0118/15/1),(MaerkischeA/2015/1)
Ziffer8,MaerkischeA,1,2015,(0118/15/1),(MaerkischeA/2015/2)
Ziffer7,Mata,1,2007,(BK2-241/07),(Mata/2007/01)
Ziffer2,MAX,1,2001,(B 47/01),(MAX/2001/01)
Ziffer4,MAX,1,2001,(B 47/01),(MAX/2001/01)
Ziffer10,MBZ,1,1990,(B 17/90),(MBZ/1990/2)
Ziffer12,MBZ,1,1990,(B 59/90),(MBZ/1990/3)
Ziffer2,MBZ,1,1990,(B 17/90),(MBZ/1990/1)
Ziffer7,MBZ,1,2008,(BK2-193/08),(MBZ/2008/01)
Ziffer8,MBZ,2,2003,(B1-274/02),(MBZ/2003/01)
Ziffer8,MBZ,2,2010,(BA2-19-09),(MBZ/2010/1)
Ziffer8,MBZ,2,2013,(0051/13/3),(MBZ/2013/1)
Ziffer8,ME,1,1991,(B 32/91),(ME/1991/1)
Ziffer7,Merian,1,2006,(BK2-48/06),(Merian/2006/01)
Ziffer1,MF,1,2013,(345/13/2),(MF/2013/1)
Ziffer2,MF,1,2013,(345/13/2),(MF/2013/1)
Ziffer7,MG,1,2004,(BK2-169/04),(MG/2004/01)
Ziffer1,MHM,1,2015,(752/15/1),(MHM/2015/2)
Ziffer8,MHM,1,2015,(752/15/1),(MHM/2015/1)
Ziffer12,MM,1,1990,(B 70/90),(MM/1990/1)
Ziffer2,MM,1,2006,(BK2-50/06),(MM/2006/01)
Ziffer3,MM,1,2006,(BK2-50/06),(MM/2006/01)
Ziffer8,MM,1,1993,(B 42a/93),(MM/1993/1)
Ziffer8,MM,1,1996,(B 99/95),(MM/1996/1)
Ziffer7,MMP,1,2010,(0646/10/1),(MMP/2010/1)
Ziffer2,MNZ,2,2008,(BK2-264/07),(MNZ/2008/01)
Ziffer7,MO,1,2011,(0337/11/2),(MO/2011/1)
Ziffer7,MO,1,2012,(0597/12/2),(MO/2012/1)
Ziffer7,MO,1,2019,(0168/19/3),(MO/2019/1)
Ziffer11,Mopo,1,2016,(0229/16/2),(Mopo/2016/1)
Ziffer11,Mopo,1,2016,(0846/16/1),(Mopo/2016/2)
Ziffer8,Mopo,1,2016,(0229/16/2),(Mopo/2016/2)
Ziffer7,MRUP,1,1999,(B 27/99),(MRUP/1999/1)
Ziffer7,MTA,1,2006,(BK1-171/06),(MTA/2006/01)
Ziffer7,Myself,1,2006,(BK2-278/06),(Myself/2006/01)
Ziffer7,Myself,1,2009,(BK2-314/08),(Myself/2009/01)
Ziffer8,MZ,1,2007,(BK1-18/07),(MZ/2007/01)
Ziffer10,ND,1,1994,(B 87/93),(ND/1994/1)
Ziffer7,Netmoms,1,2016,(0328/16/3),(Netmoms/2016/1)
Ziffer1,NK,1,2014,(0628/14/1),(NK/2014/1)
Ziffer11,NK,1,2014,(0628/14/1),(NK/2014/1)
Ziffer13,NK,1,2008,(BK1-69/08),(NK/2008/01)
Ziffer8,NK,1,2008,(BK1-69/08),(NK/2008/01)
Ziffer7,NMN,1,2006,(BK1-82/06),(NMN/2006/01)
Ziffer2,NN,1,2002,(B1-109/02),(NN/2002/01)
Ziffer1,NP,1,2017,(244/17/1),(NP/2017/1)
Ziffer2,NP,1,1996,(B 42a/96),(NP/1996/1)
Ziffer2,NP,1,2002,(B1-97/02),(NP/2002/01)
Ziffer8,NP,1,1996,(B 42a/96),(NP/1996/1)
Ziffer2,NPR,1,1999,(B 40/99),(NPR/1999/1)
Ziffer8,NPR,1,2006,(BK1-142/06),(NPR/2006/01)
Ziffer8,NR,1,2003,(B1-270/02),(NR/2003/01)
Ziffer8,NRZ,1,1999,(B 166/98),(NRZ/1999/1)
Ziffer12,NW,1,2001,(B 29/01),(NW/2001/01)
Ziffer7,NW,1,2004,(BK2-78/04),(NW/2004/01)
Ziffer7,NW,1,2007,(BK2-52/07),(NW/2007/01)
Ziffer7,NW,1,2007,(BK2-148/07),(NW/2007/02)
Ziffer9,NW,1,2001,(B 29/01),(NW/2001/01)
Ziffer13,NWZ,1,2019,(0267/19/2),(NWZ/2019/1)
Ziffer2,NWZ,1,2019,(0267/19/2),(NWZ/2019/2)
Ziffer7,NWZ,1,2007,(BK2-320/06),(NWZ/2007/01)
Ziffer8,NWZO,2,2010,(0509/10/2),(NWZO/2010/1)
Ziffer8,NWZO,1,2018,(0630/18/4),(NWZO/2018/1)
Ziffer12,OBPO,1,2009,(BK1-358/09),(OBPO/2009/01)
Ziffer2,Oeko,1,2006,(BK2-36/06),(Oeko/2006/01)
Ziffer8,OFK,2,2002,(B1-287/01/Z),(OFK/2002/01)
Ziffer1,OFN,1,2001,"(B 174,175,176/01)",(OFN/2001/01)
Ziffer6,OFN,1,2001,"(B 174,175,176/01)",(OFN/2001/01)
Ziffer8,OFN,1,2014,(0588/14/1),(OFN/2014/1)
Ziffer7,OHA,1,1997,(B 67/97),(OHA/1997/1)
Ziffer12,OP,1,2002,(B 266/01),(OP/2002/01)
Ziffer12,OP,1,2003,(B1-114/03),(OP/2003/01)
Ziffer12,OP,1,2003,(B1-306/02),(OP/2003/02)
Ziffer7,OSTZ,1,2006,(BK2-276/05),(OSTZ/2006/01)
Ziffer12,OVB,1,2006,(BK1-220/06),(OVB/2006/01)
Ziffer2,OVB24,1,2017,(0686/17/1),(OVB24/2017/1)
Ziffer8,OZ,1,2019,(0310/19/4),(PZ/2019/1)
Ziffer2,PAZ,1,2005,(BK1-213/04),(PAZ/2005/01)
Ziffer9,PAZ,1,2005,(BK1-213/04),(PAZ/2005/01)
Ziffer6,PCgo,1,2006,(BK2-252/06),(PCgo/2006/01)
Ziffer1,PCM,1,2012,(0768/11/1),(PCM/2012/1)
Ziffer6,PCM,1,2006,(BK1-210/06),(PCM/2006/01)
Ziffer1,PCP,1,2007,(BK2-186/07),(PCP/2007/01)
ZifferPra,PCP,1,2007,(BK2-186/07),(PCP/2007/01)
Ziffer1,PCW,1,2009,(BK1-281/08),(PCW/2009/01)
Ziffer1,PCWO,1,2009,(BK1-281/08),(PCWO/2009/01)
Ziffer7,Pet,1,2015,(870/15/1),(Pet/2015/1)
Ziffer9,Playboy,1,1992,(B 51/92),(Playboy/1992/1)
Ziffer1,POP,1,2005,(BK2-60/05),(POP/2005/01)
Ziffer11,POP,1,2004,(BK2-67/04),(POP/2004/01)
Ziffer11,POP,1,2005,(BK2-60/05),(POP/2005/01)
Ziffer12,POP,1,2005,(BK2-60/05),(POP/2005/01)
Ziffer12,Praline,1,1993,(B 49/93),(Praline/1993/1)
Ziffer2,Praline,1,1996,(B 42b/96),(Praline/1996/1)
Ziffer8,Praline,1,1996,(B 42b/96),(Praline/1996/1)
Ziffer7,PREM,1,2011,(0917/10/2),(PREM/2011/1)
Ziffer7,PREM,1,2011,(0164 + 0192/11/1),(PREM/2011/2)
Ziffer7,Prisma,1,2007,(BK2-94/07),(Prisma/2007/01)
Ziffer7,Prisma,1,2007,(BK2-95/07),(Prisma/2007/02)
Ziffer7,Prisma,1,2009,(BK2-53+54/09),(Prisma/2009/01)
Ziffer7,Prisma,1,2009,(BK2-181-09),(Prisma/2009/02)
Ziffer2,PS,1,2007,(BK2-313/06,(PS/2007/01)
Ziffer1,PW,1,2013,(334/13/2),(PW/2013/1)
Ziffer2,PW,1,2013,(334/13/2),(PW/2013/1)
Ziffer2,PZ,1,1993,(B 57/92),(PZ/1993/1)
Ziffer2,Quick,1,1991,(B 21/91),(Quick/1991/1)
Ziffer2,Quick,1,1992,(B 66/91),(Quick/1992/2)
Ziffer8,Quick,1,1992,(B 39/90),(Quick/1992/1)
Ziffer7,Quix,1,2007,(BK2-187/07),(Quix/2007/01)
Ziffer7,RAT,1,2002,(B1-8/02),(RAT/2002/01)
Ziffer1,RB,1,2018,(0259/18/2),(RB/2018/1)
Ziffer7,RCF,1,2013,(614/13/1),(RCF/2013/1)
Ziffer1,RE,1,2013,(381+469+471/13/2),(RE/2013/1)
Ziffer9,RE,1,2013,(381+469+471/13/2),(RE/2013/1)
Ziffer2,RemsZ,1,2016,(0561/16/3),(RemsZ/2016/1)
Ziffer8,RemsZ,1,2016,(0561/16/3),(RemsZ/2016/2)
Ziffer2,RevueH,1,2015,(0239/15/2),(RevueH/2015/1)
Ziffer8,RevueH,1,2015,(0239/15/2),(RevueH/2015/2)
Ziffer7,RF,1,2009,(BK2-262/08),(RF/2009/01)
Ziffer9,RK,1,1990,(B 14/90),(RK/1990/1)
Ziffer7,RMM,1,2019,(0272 + 0728 + 0729/18/3),(RMM/2019/1)
Ziffer12,RNR,1,2007,(BK2-43 und 44/07),(RNR/2007/01)
Ziffer1,RP,1,1999,(B 49/99),(RP/1999/1)
Ziffer12,RP,1,1999,(B 49/99),(RP/1999/1)
Ziffer7,RP,1,2010,(0208/10/1),(RP/2010/1)
Ziffer7,RP,1,2011,(0252/11/1),(RP/2011/1)
Ziffer7,RPO,1,2015,(0597/15/2),(RPO/2015/1)
Ziffer8,RS,2,2007,(BK2-244/07),(RS/2007/01)
Ziffer7,RTV,1,2000,(B 97/99),(RTV/2000/01)
Ziffer7,RTV,1,2007,(BK1-364/06),(RTV/2007/01)
Ziffer7,Rubin,1,2007,(BK1-225/07),(Rubin/2007/01)
Ziffer9,RUN,1,2001,(B 97/01),(RUN/2001/01)
Ziffer7,Runn,1,2013,(214/13/2),(Runn/2013/1)
Ziffer2,RZ,1,2001,"(B 144,163,164/01)",(RZ/2001/01)
Ziffer9,RZ,1,2001,"(B 144,163,164/01)",(RZ/2001/01)
Ziffer1,SA,1,2015,(0268/15/1),(SA/2015/1)
Ziffer11,SA,1,2015,(0268/15/1),(SA/2015/3)
Ziffer2,SA,1,2001,(B 43/01),(SA/2001/01)
Ziffer8,SA,2,2007,(BA2-4/07),(SA/2007/01)
Ziffer8,SA,1,2015,(0268/15/1),(SA/2015/2)
Ziffer9,Sabah,1,1999,(B 33/99),(Sabah/1999/1)
Ziffer2,SAEZ,1,2003,(B1-115/03),(SAEZ/2003/01)
Ziffer2,SAEZ,1,2005,(BK1-203/04),(SAEZ/2005/01)
Ziffer8,SAEZ,1,2005,(BK1-203/04),(SAEZ/2005/01)
Ziffer8,SAEZ,2,2009,(BK2-49/09),(SAEZ/2009/01)
Ziffer8,SAEZ,2,2010,(0524/10/1),(SAEZ/2010/1)
Ziffer8,SAEZ,2,2013,(0040/13/3),(SAEZ/2013/1)
Ziffer8,SAEZO,2,2009,(BK2-49/09),(SAEZO/2009/01)
Ziffer7,SAZ,1,2001,(B 197/01),(SAZ/2001/01)
Ziffer7,SB,1,2002,(B1-22/02),(SB/2002/01)
Ziffer11,SCHB,1,2007,(BK1-362/06),(SCHB/2007/01)
Ziffer2,SCHB,1,2007,(BK1-362/06),(SCHB/2007/01)
Ziffer2,SCHN,1,2008,(BK1-142/08),(SchN/2008/01)
Ziffer7,SCHP,1,2006,(BK2-15/06),(SCHP/2006/01)
Ziffer8,SCHZ,1,2009,(BK1-234-09),(SCHZ/2009/01)
Ziffer8,SCHZ,2,2018,(0068/18/4),(SCHZ/2018/1)
Ziffer7,Segeln,1,2005,(BK1-182/05),(Segeln/2005/01)
Ziffer12,SGZ,1,1998,(B 58/98),(SGZ/1998/1)
Ziffer9,SGZ,1,1998,(B 58/98),(SGZ/1998/1)
Ziffer6,Shape,1,1999,(B 53/99),(Shape/1999/1)
Ziffer7,Shape,1,1999,(B 53/99),(Shape/1999/1)
Ziffer2,SHBT,1,2011,(0831/10/2),(SHBT/2011/1)
Ziffer9,SHBT,1,2011,(0831/10/2),(SHBT/2011/1)
Ziffer7,SHZ,1,2015,(1044/14/3),(SHZ/2015/1)
Ziffer7,SIZ,1,2010,(0272/10/1),(SIZ/2010/1)
Ziffer1,SK,1,2019,(0758/19/1),(SK/2019/1)
Ziffer6,SK,1,2019,(0758/19/1),(SK/2019/2)
Ziffer7,SPHT,1,1992,(B 18/92),(SPHT/1992/1)
Ziffer1,Stern,1,2000,(B 114/00),(Stern/2000/01)
Ziffer11,Stern,2,1997,(B 120/97),(Stern/1997/1)
Ziffer11,Stern,1,2000,(B 114/00),(Stern/2000/01)
Ziffer12,Stern,1,2005,(BK1-210/04),(Stern/2005/01)
Ziffer2,Stern,1,2001,"(B 154,155/01)",(Stern/2001/01)
Ziffer2,Stern,1,2002,"(B1-1,2,3,4/02)",(Stern/2002/01)
Ziffer8,Stern,1,1999,(B 82/99),(Stern/1999/1)
Ziffer8,Stern,1,2000,(B 114/00),(Stern/2000/01)
Ziffer8,Stern,1,2001,"(B 154,155/01)",(Stern/2001/01)
Ziffer8,Stern,1,2001,(B 222/00),(Stern/2001/02)
Ziffer9,Stern,1,2002,"(B1-1,2,3,4/02)",(Stern/2002/01)
Ziffer11,SternC,1,2019,(0070/19/1),(SternC/2019/1)
Ziffer8,SternC,1,2019,(0070/19/1),(SternC/2019/2)
Ziffer7,STG,1,2015,(0385/15/2),(STG/2015/1)
Ziffer12,STT,1,2005,(BK2-6/05),(STT/2005/01)
Ziffer2,STU,1,2002,(B1-133/02),(STU/2002/01)
Ziffer7,Sugar,1,2007,(BK1-357/06),(Sugar/2007/01)
Ziffer1,Super,1,1991,(B 27/91),(Super/1991/1)
Ziffer8,Super,2,1991,(B 54/91),(Super/1991/2)
Ziffer2,SuperI,2,1993,(B 75/93),(SuperI/1993/2)
Ziffer8,SuperI,1,1992,(B 39/92),(SuperI/1992/1)
Ziffer8,SuperI,1,1993,(B 48e/93),(SuperI/1993/1)
Ziffer8,SuperI,2,1993,(B 75/93),(SuperI/1993/3)
Ziffer13,SZ,1,2001,(B 226/00),(SZ/2001/01)
Ziffer2,SZ,1,2002,(B1-233/02),(SZ/2002/01)
Ziffer8,SZO,1,2018,(0526/18/4),(SZO/2018/1)
Ziffer2,Tag,1,2018,(0260/18/1),(Tag/2018/1)
Ziffer11,Tango,2,1995,(B 87/94),(Tango/1995/1)
Ziffer8,Tango,2,1995,(B 87/94),(Tango/1995/1)
Ziffer1,Taz,1,1997,(B 79/96),(Taz/1997/1)
Ziffer1,Taz,1,2001,(B 53/01),(Taz/2001/02)
Ziffer1,Taz,1,2002,(B1-131/02),(Taz/2002/01)
Ziffer10,Taz,1,1991,(B 28/87),(Taz/1991/1)
Ziffer11,Taz,1,2016,(0231/16/2),(Taz/2016/1)
Ziffer2,Taz,1,2001,"(B 218,219/00)",(Taz/2001/03)
Ziffer2,Taz,2,2009,(BK2-43/09),(Taz/2009/01)
Ziffer2,Taz,1,2013,(0186/13/1),(Taz/2013/1)
Ziffer7,Taz,1,2016,(0231/16/2),(Taz/2016/2)
Ziffer8,Taz,2,2000,(B 86/00),(Taz/2000/01)
Ziffer8,Taz,2,2009,(BK2-43/09),(Taz/2009/01)
Ziffer9,Taz,1,1999,(B 59/99),(Taz/1999/1)
Ziffer9,Taz,1,2001,(B 191/01),(Taz/2001/01)
Ziffer9,Taz,1,2013,(0186/13/1),(Taz/2013/1)
Ziffer2,TAZO,2,2009,(BK2-43/09),(TAZO/2009/01)
Ziffer8,TAZO,2,2009,(BK2-43/09),(TAZO/2009/01)
Ziffer8,TAZO,1,2018,(0350/18/4),(TAZO/2018/1)
Ziffer8,Tempo,2,1992,(B 32/92),(Tempo/1992/1)
Ziffer7,TGS,1,2004,(BK2-154/04),(TGS/2004/01)
Ziffer7,TGS,1,2004,(BK2-126/04),(TGS/2004/02)
Ziffer7,TGS,1,2006,(BK2-118/06),(TGS/2006/01)
Ziffer2,TGSO,1,2014,(0546/14/3),(TGSO/2014/1)
Ziffer7,TGSO,1,2017,(0868/17/3),(TGSO/2017/1)
Ziffer8,TGSO,1,2014,(0546/14/3),(TGSO/2014/1)
Ziffer2,TGZ,1,2002,(B1-116/02),(TGZ/2002/01)
Ziffer1,THA,1,2006,(BK1-5/06),(THA/2006/01)
Ziffer1,THA,1,2009,(BK1-369/09),(THA/2009/01)
Ziffer2,THA,1,2006,(BK1-5/06),(THA/2006/01)
Ziffer6,THA,1,2009,(BK1-369/09),(THA/2009/01)
Ziffer9,THA,1,2006,(BK1-5/06),(THA/2006/01)
Ziffer7,Tina,1,2010,(0645/10/1),(Tina/2010/1)
Ziffer1,Titanic,1,1997,(B 69/97),(Titanic/1997/1)
Ziffer10,Titanic,1,1995,(B 103/94),(Titanic/1995/1)
Ziffer9,Titanic,1,2012,(0404/12/1),(Titanic/2012/1)
Ziffer11,TitanicO,1,2010,(BK1-451/09),(TitanicO/2010/1)
Ziffer7,TMK,1,2006,(BK2-276/06),(TMK/2006/01)
Ziffer7,TMR,1,2017,(0046/17/3),(TMR/2017/1)
Ziffer7,TS,1,1999,(B 34/99),(TS/1999/1)
Ziffer6,TTO,1,2017,(0585/17/2),(TTO/2017/1)
Ziffer1,TV,1,2015,(0710/15/1),(TV/2015/1)
Ziffer7,TV,1,2002,(B1-212/02),(TV/2002/01)
Ziffer7,TV,1,2007,(BK2-321/06),(TV/2007/01)
Ziffer7,TV,1,2007,(BK2-16/07),(TV/2007/02)
Ziffer7,TV,1,2011,(0795/10/1),(TV/2011/1)
Ziffer7,TV,1,2015,(0710/15/1),(TV/2015/2)
